Timestamp,ES_Trade Close,ES_Trade Volume,HI_Trade Close,HI_Trade Volume,NQ_Trade Close,NQ_Trade Volume,VIX_Trade Close,VIX_Trade Volume
30/11/2020 17:05,3624,1902,#N/A,#N/A,12257,473,23.1,3
30/11/2020 17:10,3623.75,1122,#N/A,#N/A,12259.5,431,23.1,10
30/11/2020 17:15,3624.5,1270,#N/A,#N/A,12258,354,23.1,17
30/11/2020 17:20,3622.25,1249,26466,631,12253.75,335,23.1,36
30/11/2020 17:25,3621,1275,26449,389,12252.75,803,23.15,36
30/11/2020 17:30,3621.5,588,26445,282,12255,206,23.11,1
30/11/2020 17:35,3619.75,1010,26429,247,12247,622,23.2,33
30/11/2020 17:40,3619.75,651,26429,123,12249.25,332,23.16,5
30/11/2020 17:45,3620.25,625,26444,112,12249.25,210,#N/A,#N/A
30/11/2020 17:50,3621,718,26442,158,12251.75,191,23.15,37
30/11/2020 17:55,3623.25,876,26453,145,12258,262,23.11,17
30/11/2020 18:00,3623.25,596,26459,158,12254.75,283,23.1,6
30/11/2020 18:05,3622,746,26453,88,12255.75,153,23.1,17
30/11/2020 18:10,3621.75,346,26444,111,12251.25,178,23.14,15
30/11/2020 18:15,3622,365,26446,55,12252,136,23.06,66
30/11/2020 18:20,3621.75,476,26454,94,12252,93,23.06,10
30/11/2020 18:25,3621,627,26448,142,12248.5,213,23.11,36
30/11/2020 18:30,3622.25,707,26458,101,12252.25,400,23.06,9
30/11/2020 18:35,3621.75,1051,26456,83,12257,239,23.06,35
30/11/2020 18:40,3622.25,1428,26456,92,12259.25,443,23.05,115
30/11/2020 18:45,3623.5,468,26463,48,12260,145,23,38
30/11/2020 18:50,3623.25,816,26460,88,12260.25,184,23.01,2
30/11/2020 18:55,3624.5,1724,26461,60,12264.5,471,23,2
30/11/2020 19:00,3623.5,1268,26451,79,12264.5,252,23,7
30/11/2020 19:05,3624,917,26452,47,12263.75,292,#N/A,#N/A
30/11/2020 19:10,3623.5,1121,26448,59,12261.75,241,23,9
30/11/2020 19:15,3623.5,720,26448,46,12261.5,294,23,4
