,date,name,position,cost
47,2008-10-06,SPY,232583,81.94829559326172
48,2008-10-06,TLT,578746,69.92353057861328
49,2008-10-06,GLD,480161,84.27999877929688
50,2008-10-06,SPY,-246911,81.94829559326172
51,2008-10-07,TLT,-578746,69.71202850341797
52,2008-10-07,GLD,-480161,87.2699966430664
53,2008-10-07,SPY,246911,78.27815246582031
54,2008-10-07,TLT,595275,69.71202850341797
55,2008-10-07,GLD,475511,87.2699966430664
56,2008-10-07,SPY,-265066,78.27815246582031
57,2008-10-08,TLT,-595275,68.71080017089844
58,2008-10-08,GLD,-475511,89.41999816894531
59,2008-10-08,SPY,265066,76.30612182617188
60,2008-10-08,TLT,616870,68.71080017089844
61,2008-10-08,GLD,474006,89.41999816894531
62,2008-10-08,SPY,-277734,76.30612182617188
63,2008-10-09,TLT,-616870,68.13262939453125
64,2008-10-09,GLD,-474006,89.9000015258789
65,2008-10-09,SPY,277734,70.97698211669922
66,2008-10-09,TLT,627676,68.13262939453125
67,2008-10-09,GLD,475698,89.9000015258789
68,2008-10-09,SPY,-301261,70.97698211669922
69,2008-10-10,TLT,-627676,67.65312194824219
70,2008-10-10,GLD,-475698,83.22000122070312
71,2008-10-10,SPY,301261,69.25538635253906
72,2008-10-10,TLT,640112,67.65312194824219
73,2008-10-10,GLD,520375,83.22000122070312
74,2008-10-10,SPY,-312651,69.25538635253906
75,2008-10-13,TLT,-640112,66.78593444824219
76,2008-10-13,GLD,-520375,81.98999786376953
77,2008-10-13,SPY,312651,79.31111145019531
78,2008-10-13,TLT,630696,66.78593444824219
79,2008-10-13,GLD,513741,81.98999786376953
80,2008-10-13,SPY,-265546,79.31111145019531
81,2008-10-14,TLT,-630696,66.35579681396484
82,2008-10-14,GLD,-513741,82.19999694824219
83,2008-10-14,SPY,265546,78.13729858398438
84,2008-10-14,TLT,608628,66.35579681396484
85,2008-10-14,GLD,491314,82.19999694824219
86,2008-10-14,SPY,-258429,78.13729858398438
87,2008-10-15,TLT,-608628,66.99040222167969
88,2008-10-15,GLD,-491314,83.30999755859375
89,2008-10-15,SPY,258429,70.4448471069336
90,2008-10-15,TLT,603748,66.99040222167969
91,2008-10-15,GLD,485479,83.30999755859375
92,2008-10-15,SPY,-287070,70.4448471069336
93,2008-10-16,TLT,-603748,66.6448974609375
94,2008-10-16,GLD,-485479,79.29000091552734
95,2008-10-16,SPY,287070,73.37938690185547
96,2008-10-16,TLT,624401,66.6448974609375
97,2008-10-16,GLD,524822,79.29000091552734
98,2008-10-16,SPY,-283547,73.37938690185547
99,2008-10-17,TLT,-624401,66.18656921386719
100,2008-10-17,GLD,-524822,77.20999908447266
101,2008-10-17,SPY,283547,72.941162109375
102,2008-10-17,TLT,610578,66.18656921386719
103,2008-10-17,GLD,523404,77.20999908447266
104,2008-10-17,SPY,-277018,72.941162109375
105,2008-10-20,TLT,-610578,66.71539306640625
106,2008-10-20,GLD,-523404,78.5
107,2008-10-20,SPY,277018,77.32345581054688
108,2008-10-20,TLT,598222,66.71539306640625
109,2008-10-20,GLD,508416,78.5
110,2008-10-20,SPY,-258076,77.32345581054688
111,2008-10-21,TLT,-598222,67.06791687011719
112,2008-10-21,GLD,-508416,76.02999877929688
113,2008-10-21,SPY,258076,75.01493835449219
114,2008-10-21,TLT,593790,67.06791687011719
115,2008-10-21,GLD,523797,76.02999877929688
116,2008-10-21,SPY,-265442,75.01493835449219
117,2008-10-22,TLT,-593790,68.42877197265625
118,2008-10-22,GLD,-523797,71.70999908447266
119,2008-10-22,SPY,265442,70.9300537109375
120,2008-10-22,TLT,579356,68.42877197265625
121,2008-10-22,GLD,552847,71.70999908447266
122,2008-10-22,SPY,-279463,70.9300537109375
123,2008-10-23,TLT,-579356,68.9364242553711
124,2008-10-23,GLD,-552847,70.6500015258789
125,2008-10-23,SPY,279463,71.751708984375
126,2008-10-23,TLT,572940,68.9364242553711
127,2008-10-23,GLD,559044,70.6500015258789
128,2008-10-23,SPY,-275230,71.751708984375
129,2008-10-24,TLT,-572940,68.2031021118164
