DATE,BAMLH0A0HYM2EY,HY_rtn_10,HY_rtn_10_pos
1997-05-19,9.37,-0.0010672358591248265,-0.01989528795811535
1997-05-20,9.36,0.002136752136752351,-0.017801047120418856
1997-05-21,9.38,0.002136752136752351,-0.015739769150052263
1997-05-22,9.38,0.0,-0.012658227848101333
1997-05-23,9.36,0.0010683760683760646,-0.010559662090813271
1997-05-27,9.37,0.0010683760683760646,-0.007415254237288171
1997-05-28,9.37,-0.002136752136752129,-0.007438894792773709
1997-05-29,9.34,-0.004282655246252598,-0.008528784648187626
1997-05-30,9.3,0.005376344086021501,-0.0031982942430704986
1997-05-31,9.35,0.005376344086021501,-0.0031982942430704986
1997-06-02,9.35,0.003225806451612856,-0.00533049040511735
1997-06-03,9.33,0.0010752688172042113,-0.007462686567164201
1997-06-04,9.31,0.0,-0.008528784648187626
